Price,Maturity,Coupon,Yield
101.03,0.083333333,6.75,2.34
101.84,0.333333333,6.5,2.71
102.04,0.583333333,5.75,2.932
106.14,0.833333333,9.375,3.042
101.75,1.083333333,4.625,3.164
98.71,1.333333333,2.375,3.265
100.27,1.583333333,3.5,3.336
97.82,1.833333333,2.25,3.391
99.31,2.083333333,3.125,3.444
98.28,2.333333333,2.75,3.476
98.65,2.583333333,3,3.52
99.5,2.833333333,3.375,3.553
106.21,3.083333333,5.625,3.574
98.82,3.333333333,3.25,3.613
103.9,3.583333333,4.75,3.622
97.56,3.833333333,3,3.662
96.1,4.083333333,2.625,3.665
109.38,4.333333333,6,3.713
98.94,4.583333333,3.5,3.744
112.3,4.833333333,6.5,3.773
109.5,5.333333333,5.75,3.816
106,5.833333333,5,3.868
106.13,6.333333333,5,3.921
105.52,6.833333333,4.875,3.963
102.34,7.333333333,4.375,4.009
99.85,7.583333333,4,4.022
97.2,8.083333333,3.625,4.027
101.04,8.333333333,4.25,4.103
99.01,8.833333333,4,4.133
104.56,9.083333333,4.75,4.149
100.68,9.333333333,4.25,4.163
100.7,9.583333333,4.25,4.16
98.75,9.833333333,4,4.153
154.24,10.33333333,10.625,4.184
148.48,10.58333333,9.875,4.213
143.76,10.83333333,9.25,4.23
126.35,11.08333333,7.25,4.272
129.21,11.58333333,7.5,4.303
141.64,12.08333333,8.75,4.329
143.37,12.33333333,8.875,4.34
147.37,13.08333333,9.125,4.372
146.99,13.58333333,9,4.403
146.14,13.83333333,8.875,4.418
138.97,14.33333333,8.125,4.448
143.78,14.83333333,8.5,4.462
147.05,15.08333333,8.75,4.46
147.36,15.33333333,8.75,4.478
138.1,15.83333333,7.875,4.506
141.32,16.08333333,8.125,4.507
141.64,16.33333333,8.125,4.516
140.51,16.58333333,8,4.522
132.31,17.33333333,7.25,4.551
137.11,17.58333333,7.625,4.552
131.14,17.83333333,7.125,4.568
120.7,18.33333333,6.25,4.578
137.72,18.58333333,7.5,4.576
139.65,18.83333333,7.625,4.576
130.18,19.33333333,6.875,4.587
118.71,19.83333333,6,4.6
129.17,20.33333333,6.75,4.598
125.94,20.58333333,6.5,4.599
127.81,20.83333333,6.625,4.601
124.68,21.33333333,6.375,4.602
121.38,21.58333333,6.125,4.598
112.9,22.33333333,5.5,4.596
109.41,22.58333333,5.25,4.594
109.56,22.83333333,5.25,4.588
122.48,23.33333333,6.125,4.587
124.79,24.08333333,6.25,4.581
113.07,24.83333333,5.375,4.515
,,,
